ID,Hurricane,Origin,Sex,SVL,Femur,Tibia,Metatarsal,LongestToe,Humerus,Radius,Metacarpal,LongestFinger,FingerCount,ToeCount,FingerArea1,FingerArea2,FingerArea3,ToeArea1,ToeArea2,ToeArea3
WC49,Before,Water Cay,Female,41.42,9.07,9.85,6.28,6.07,6.95,6.4,2.26,3.25,11,13,0.934,0.904,0.908,1.451,1.49,1.497
WC50,Before,Water Cay,Female,41.02,8.89,10.13,6.37,5.64,6.96,6.53,2.2,3.05,11,13,0.822,0.813,0.804,1.41,1.465,1.425
WC51,Before,Water Cay,Female,45.04,9.26,10.3,6.2,6.01,7.18,6.63,2.43,3.1,10,12,0.952,0.958,0.928,1.585,1.587,1.675
WC52,Before,Water Cay,Male,58.13,11.89,14.48,8.86,9.23,10.38,9.38,3.35,5.17,12,15,1.936,1.934,1.821,3.85,3.86,3.776
WC53,Before,Water Cay,Male,56.64,12.93,14.04,8.55,7.89,11.39,9.25,2.84,3.95,11,14,1.995,2.015,2.005,3.26,3.291,3.338
WC54,Before,Water Cay,Female,40.68,9.1,9.96,6.3,5.9,6.93,6.63,1.78,2.83,10,13,0.761,0.79,0.756,1.194,1.217,1.219
WC55,Before,Water Cay,Male,49.13,10.75,11.79,7.38,7.33,8.46,7.53,2.55,3.61,11,15,1.356,1.348,1.329,2.276,2.354,2.309
WC56,Before,Water Cay,Female,42.86,9.38,10.07,6.42,6.11,7.03,6.65,2.62,3.23,10,11,0.905,0.895,0.888,1.679,1.678,1.646
WC57,Before,Water Cay,Male,54.71,12.53,12.99,7.99,8.8,9.12,8.67,3.14,4.11,13,15,2.151,2.142,2.117,3.313,3.372,3.391
WC58,Before,Water Cay,Male,54.07,13.13,14.02,8.97,8.96,10.4,8.88,3.5,4.42,11,14,2.279,2.272,2.173,3.386,3.401,3.423
WC59,Before,Water Cay,Female,41.91,8.31,9.73,5.86,6.06,7.23,6.66,2.74,3.2,10,12,0.88,0.833,0.849,1.346,1.364,1.32
WC60,Before,Water Cay,Male,52.07,12.58,13.26,7.51,8.03,9.28,8.42,3.11,4.1,13,14,1.758,1.719,1.73,2.699,2.73,2.786
WC61,Before,Water Cay,Male,55.89,12.35,13.73,8.47,8.67,10.33,9.02,3.28,4.47,12,14,1.835,1.914,1.901,2.897,2.916,2.869
WC62,Before,Water Cay,Male,55.5,13.12,14.26,8.83,8.35,10.89,9.38,3.5,4.36,12,14,1.796,1.794,1.766,3.269,3.325,3.258
WC63,Before,Water Cay,Male,55.76,12.32,14.32,8.97,8.37,9.94,9.11,2.87,4.3,12,15,1.807,1.825,1.764,2.793,2.746,2.748
WC64,Before,Water Cay,Female,41.92,9.77,10.09,6.2,5.99,7.78,6.69,2.6,3.2,9,11,0.919,0.913,0.931,1.383,1.331,1.365
WC65,Before,Water Cay,Female,41.06,9.18,10.13,6.57,6.23,7.42,6.3,2.26,2.6,10,13,0.797,0.77,0.782,1.372,1.345,1.342
WC66,Before,Water Cay,Female,43.04,9.23,9.96,6.29,5.72,7.12,6.73,2.5,3.07,10,12,1.015,1.008,1.031,1.17,1.127,1.148
WC69,Before,Water Cay,Female,42.38,9.21,9.8,6.68,6.29,7.38,6.62,2.17,3.28,10,12,0.912,0.92,0.894,1.542,1.526,1.527
WC70,Before,Water Cay,Female,45.74,9.79,10.08,6.61,6.54,8.05,7.23,2.4,3.41,11,13,1.136,1.119,1.146,1.719,1.716,1.703
WC71,Before,Water Cay,Female,40.95,9.04,10.08,6.26,5.52,7.27,6.66,2.24,3,10,12,0.782,0.793,0.777,1.227,1.234,1.252
WC72,Before,Water Cay,Female,40.62,8.64,9.77,6.14,6.61,6.91,6.38,2.52,2.94,11,13,0.827,0.842,0.845,1.122,1.203,1.116
